Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.33,9.47,9.21,9.29,6.91951,50760842
2010-01-05,9.75,9.9,9.63,9.84,7.32917,240879919
2010-01-06,9.84,10.08,9.84,10.04,7.47814,152624509
2010-01-07,10.16,10.18,9.9,10.0,7.44834,85894338
2010-01-08,10.12,10.16,9.96,10.08,7.50793,87066566
2010-01-11,10.2,10.28,10.14,10.18,7.58242,87000550
2010-01-12,10.24,10.24,10.02,10.12,7.53772,92179445
2010-01-13,9.98,9.98,9.65,9.75,7.26213,151146635
2010-01-14,9.78,9.8,9.62,9.63,7.17275,92631720
2010-01-15,9.6,9.64,9.48,9.52,7.09082,150087798
2010-01-18,9.45,9.55,9.35,9.4,7.00144,112681748
2010-01-19,9.4,9.34,9.58,9.59,7.14296,112975410
2010-01-20,9.42,9.49,9.25,9.4,7.00144,166094081
2010-01-21,9.33,9.43,9.16,9.18,6.83758,118233844
2010-01-22,9.01,9.19,8.95,9.17,6.83013,133033700
2010-01-25,9.0,9.16,8.96,9.1,6.77799,96002641
2010-01-26,9.12,9.12,8.83,8.86,6.59923,110494515
2010-01-27,8.86,8.98,8.75,8.86,6.59923,79926020
2010-01-28,8.87,9.04,8.82,8.9,6.62902,94482406
2010-01-29,8.7,8.92,8.7,8.8,6.55454,79859533
2010-02-01,8.65,8.83,8.56,8.76,6.52475,105149561
2010-02-02,8.86,9.0,8.73,8.84,6.58433,98122892
2010-02-03,9.07,9.19,8.94,9.13,6.80034,150575323
2010-02-04,9.02,9.08,8.87,8.92,6.64392,111998120
2010-02-05,8.6,8.63,8.38,8.4,6.25661,210747056
2010-02-08,8.31,8.48,8.21,8.26,6.15233,113015118
2010-02-09,8.22,8.55,8.22,8.45,6.29385,108199132
2010-02-10,8.48,8.58,8.36,8.51,6.33854,101497663
2010-02-11,8.55,8.73,8.55,8.68,6.46516,81612698
2010-02-12,8.59,8.72,8.55,8.61,6.41302,68455930
2010-02-17,8.8,8.98,8.76,8.78,6.53965,80307984
2010-02-18,8.67,8.86,8.67,8.71,6.4875,61528951
2010-02-19,8.65,8.7,8.47,8.5,6.33109,80091078
2010-02-22,8.76,8.86,8.71,8.75,6.5173,77167600
2010-02-23,8.67,8.91,8.61,8.83,6.57689,83460770
2010-02-24,8.68,8.72,8.6,8.64,6.43537,104472607
2010-02-25,8.63,8.73,8.42,8.53,6.35344,131289072
2010-02-26,8.64,8.71,8.58,8.67,6.45771,95103057
2010-03-01,8.8,8.88,8.78,8.85,6.59178,101789354
2010-03-02,8.84,8.75,8.86,8.92,6.64392,82189016
2010-03-03,8.92,8.99,8.81,8.93,6.65137,89911835
2010-03-04,9.0,9.01,8.76,8.77,6.5322,78729536
2010-03-05,8.91,9.07,8.86,8.93,6.65137,157556032
2010-03-08,9.13,9.24,9.08,9.18,6.83758,108322266
2010-03-09,9.08,9.21,9.06,9.18,6.83758,70768063
2010-03-10,9.25,9.28,9.16,9.19,6.84503,77884751
2010-03-11,9.31,9.31,9.12,9.2,6.85248,81493107
2010-03-12,9.28,9.28,9.17,9.25,6.88972,73504263
2010-03-15,9.07,9.15,8.89,9.04,6.7333,115964348
2010-03-16,9.12,9.15,8.92,8.95,6.66627,84859037
2010-03-17,9.09,9.24,9.06,9.16,6.82268,118224510
2010-03-18,9.2,9.23,9.06,9.1,6.77799,64230057
2010-03-19,9.15,9.26,9.06,9.22,6.86737,76886865
2010-03-22,9.07,9.07,8.93,8.97,6.68116,103442788
2010-03-23,9.04,9.16,8.94,8.96,6.67371,57926971
